N;M;seed;LP_median_objval;LP_median_CPU;INT_median_objval;INT_median_nodes;INT_median_CPU;median_ranking;LP_gap_median;LP_mean_objval;LP_mean_CPU;INT_mean_objval;INT_mean_nodes;INT_mean_CPU;mean_ranking;LP_gap_mean;rowgen_objval;rowgen_nodes;rowgen_iterations;rowgen_constrs;rowgen_CPU;actual_error;approx_error;ratio_error;theta_median;theta_mean;weighted_Kendall;normal_Kendall
15;20;20;168.0;0.00860738754272461;168.0;1;0.007864952087402344;[12, 9, 4, 3, 7, 6, 2, 13, 5, 15, 8, 14, 10, 1, 11];0.0;-181.14920634920628;0.47905683517456055;-181.40952380952365;1;1.864870548248291;[12, 4, 9, 3, 7, 13, 6, 2, 5, 15, 8, 14, 10, 1, 11];-0.0014349713005734621;-181.40952380952373;1;4;51;1.1543819904327393;0.0002239340738087181;0.2879425837320574;0.000777703912030942;72216.0;72176.0;33.5;0.029910714285714287
15;30;21;128.0;0.008747339248657227;128.0;1;0.007962942123413086;[10, 6, 4, 5, 9, 15, 7, 2, 14, 12, 8, 1, 3, 13, 11];0.0;-343.1873066911652;0.7544295787811279;-344.6714285714286;1;12.517933130264282;[10, 6, 4, 5, 9, 15, 12, 7, 2, 8, 13, 1, 14, 11, 3];-0.0043059034118803075;-344.6714285714286;3;7;140;17.10615301132202;0.003209765093033057;0.27577411334695584;0.011639109465632838;98386.0;97136.0;54.5;0.048660714285714286
15;30;22;142.0;0.008489847183227539;142.0;1;0.008363485336303711;[8, 4, 12, 10, 7, 15, 3, 13, 9, 6, 1, 11, 14, 2, 5];0.0;-364.9687074829931;0.713019847869873;-365.7809523809523;1;6.715329647064209;[8, 4, 12, 7, 10, 15, 3, 13, 9, 6, 1, 11, 14, 2, 5];-0.0022205773501109416;-365.78095238095233;5;6;104;4.113765478134155;5.281703424808715e-05;0.2835076906441759;0.00018629841796558743;104878.0;104864.0;12.0;0.010714285714285714
15;30;23;306.0;0.008467912673950195;306.0;1;0.008090496063232422;[11, 1, 4, 8, 2, 7, 12, 3, 6, 14, 15, 13, 5, 10, 9];0.0;-217.53960340734528;0.7530064582824707;-218.86190476190467;1;12.00998568534851;[11, 1, 4, 7, 8, 12, 3, 13, 5, 6, 9, 2, 14, 15, 10];-0.0060417154643604976;-218.86190476190458;3;4;86;3.4988503456115723;0.0016273086499741796;0.29115728494975945;0.005589105044220272;108864.0;107596.0;133.5;0.11919642857142858
15;30;24;194.0;0.008538007736206055;194.0;1;0.007813215255737305;[14, 2, 15, 7, 11, 12, 4, 3, 6, 1, 5, 10, 13, 9, 8];0.0;-330.01891595347803;0.7336053848266602;-330.8142857142857;1;8.807207345962524;[14, 2, 15, 11, 12, 4, 6, 1, 7, 3, 5, 10, 9, 13, 8];-0.002404278760484324;-330.8142857142855;3;7;136;10.201847314834595;0.00084109657966569;0.28991532728286773;0.00290118010506233;108642.0;107164.0;74.5;0.06651785714285714
15;30;25;186.0;0.00868082046508789;186.0;1;0.00793313980102539;[8, 14, 5, 1, 6, 3, 12, 15, 11, 10, 7, 13, 9, 4, 2];0.0;-330.56014492753616;0.7442276477813721;-331.1428571428571;1;3.11616849899292;[8, 14, 1, 3, 12, 5, 11, 6, 15, 10, 7, 13, 9, 4, 2];-0.0017597003913920606;-331.14285714285705;1;5;94;1.3033626079559326;0.0013564148681055599;0.2867976836539182;0.004729518212365899;107174.0;106812.0;78.5;0.07008928571428572
15;30;26;156.0;0.008778095245361328;156.0;1;0.007873296737670898;[12, 5, 1, 15, 13, 4, 6, 11, 2, 7, 14, 10, 3, 8, 9];0.0;-333.37619047619046;0.7381641864776611;-333.75714285714275;1;5.181462287902832;[2, 12, 1, 5, 15, 13, 4, 6, 14, 11, 7, 10, 3, 8, 9];-0.0011414059267500498;-333.7571428571428;5;7;135;4.265909671783447;0.004826088455306965;0.2826528104871106;0.017074263110951948;102376.0;100280.0;133.5;0.11919642857142858
15;30;27;252.0;0.008547306060791016;252.0;1;0.008007526397705078;[1, 12, 10, 14, 4, 2, 7, 3, 6, 8, 15, 11, 9, 5, 13];0.0;-255.5858418367345;0.7679276466369629;-256.12380952380937;1;7.094350099563599;[1, 12, 4, 2, 10, 14, 7, 3, 6, 8, 15, 11, 9, 5, 13];-0.002100420449293927;-256.1238095238095;1;5;96;3.7659318447113037;0.0001817121830438584;0.2844478642297084;0.000638824213132833;104988.0;104939.9999999999;50.0;0.044642857142857144
15;30;28;122.0;0.008611917495727539;122.0;1;0.008141517639160156;[12, 8, 13, 14, 6, 3, 15, 11, 9, 1, 10, 2, 7, 4, 5];0.0;-388.1119047619047;0.7430143356323242;-388.9761904761905;1;12.028154134750366;[13, 12, 6, 8, 14, 3, 15, 1, 11, 9, 10, 2, 7, 4, 5];-0.002221950174450704;-388.9761904761904;3;6;119;8.930055141448975;0.001044722448284352;0.2861941842632688;0.00365039719788057;105812.0;103864.0;71.0;0.06339285714285714
15;30;29;290.0;0.00845193862915039;290.0;1;0.007888078689575195;[6, 11, 3, 13, 2, 1, 7, 10, 4, 14, 9, 12, 8, 5, 15];0.0;-239.06190476190466;0.6975967884063721;-239.09999999999982;1;1.2451269626617432;[6, 11, 1, 3, 13, 7, 4, 2, 14, 10, 9, 8, 12, 5, 15];-0.00015932763737003253;-239.09999999999997;1;4;66;0.33928728103637695;0.0008333984425866747;0.289689246484219;0.0028768704834615756;109526.0;108883.99999999988;78.0;0.06964285714285715
